"No.","Time","Source","Destination","Protocol","Length","Info"
"105","0.313546","192.168.0.20","192.168.0.21","SSHv2","104","Server: Protocol (SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1)"
"106","0.313564","192.168.0.21","192.168.0.20","TCP","66","58202  >  22 [ACK] Seq=23 Ack=39 Win=64896 Len=0 TSval=2464991763 TSecr=65614233"
"107","0.313765","192.168.0.21","192.168.0.20","SSHv2","738","Client: Key Exchange Init"
"108","0.314149","192.168.0.20","192.168.0.21","SSHv2","850","Server: Key Exchange Init"
"109","0.316323","192.168.0.21","192.168.0.20","SSHv2","338","Client: Diffie-Hellman Key Exchange Init"
"110","0.352450","192.168.0.20","192.168.0.21","TCP","66","22  >  58202 [ACK] Seq=823 Ack=967 Win=8320 Len=0 TSval=65614237 TSecr=2464991765"
"111","0.368261","192.168.0.20","192.168.0.21","SSHv2","104","Server: Protocol (SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1)"
"112","0.368273","192.168.0.21","192.168.0.20","TCP","66","58204  >  22 [ACK] Seq=23 Ack=39 Win=64896 Len=0 TSval=2464991817 TSecr=65614238"
"113","0.368484","192.168.0.21","192.168.0.20","SSHv2","738","Client: Key Exchange Init"
"114","0.368702","192.168.0.20","192.168.0.21","TCP","66","22  >  58204 [ACK] Seq=39 Ack=695 Win=7040 Len=0 TSval=65614238 TSecr=2464991817"
"115","0.372446","192.168.0.20","192.168.0.21","SSHv2","104","Server: Protocol (SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1)"
"116","0.372456","192.168.0.21","192.168.0.20","TCP","66","58208  >  22 [ACK] Seq=23 Ack=39 Win=64896 Len=0 TSval=2464991821 TSecr=65614239"
"117","0.372724","192.168.0.21","192.168.0.20","SSHv2","738","Client: Key Exchange Init"
"118","0.372868","192.168.0.20","192.168.0.21","TCP","66","22  >  58208 [ACK] Seq=39 Ack=695 Win=7040 Len=0 TSval=65614239 TSecr=2464991822"
"119","0.372965","192.168.0.20","192.168.0.21","SSHv2","850","Server: Key Exchange Init"
"120","0.376769","192.168.0.20","192.168.0.21","SSHv2","850","Server: Key Exchange Init"
"121","0.377010","192.168.0.21","192.168.0.20","SSHv2","338","Client: Diffie-Hellman Key Exchange Init"
"122","0.382608","192.168.0.21","192.168.0.20","SSHv2","338","Client: Diffie-Hellman Key Exchange Init"
"123","0.396263","192.168.0.20","192.168.0.21","SSHv2","914","Server: Diffie-Hellman Key Exchange Reply, New Keys"
"124","0.399319","192.168.0.21","192.168.0.20","SSHv2","82","Client: New Keys"
"125","0.399593","192.168.0.20","192.168.0.21","TCP","66","22  >  58202 [ACK] Seq=1671 Ack=983 Win=8320 Len=0 TSval=65614241 TSecr=2464991848"
"126","0.399605","192.168.0.21","192.168.0.20","SSHv2","118","Client: Encrypted packet (len=52)"
"127","0.399787","192.168.0.20","192.168.0.21","TCP","66","22  >  58202 [ACK] Seq=1671 Ack=1035 Win=8320 Len=0 TSval=65614241 TSecr=2464991849"
"128","0.399798","192.168.0.20","192.168.0.21","SSHv2","118","Server: Encrypted packet (len=52)"
"129","0.399854","192.168.0.21","192.168.0.20","SSHv2","134","Client: Encrypted packet (len=68)"
"130","0.400403","192.168.0.20","192.168.0.21","SSHv2","104","Server: Protocol (SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1)"
"131","0.400415","192.168.0.21","192.168.0.20","TCP","66","58210  >  22 [ACK] Seq=23 Ack=39 Win=64896 Len=0 TSval=2464991849 TSecr=65614242"
"132","0.400668","192.168.0.21","192.168.0.20","SSHv2","738","Client: Key Exchange Init"
"133","0.400801","192.168.0.20","192.168.0.21","TCP","66","22  >  58210 [ACK] Seq=39 Ack=695 Win=7040 Len=0 TSval=65614242 TSecr=2464991850"
"134","0.406843","192.168.0.20","192.168.0.21","SSHv2","850","Server: Key Exchange Init"
"135","0.410197","192.168.0.21","192.168.0.20","SSHv2","338","Client: Diffie-Hellman Key Exchange Init"
"136","0.411119","192.168.0.20","192.168.0.21","SSHv2","134","Server: Encrypted packet (len=68)"
"137","0.411205","192.168.0.21","192.168.0.20","SSHv2","150","Client: Encrypted packet (len=84)"
"138","0.412339","192.168.0.20","192.168.0.21","TCP","66","22  >  58208 [ACK] Seq=823 Ack=967 Win=8320 Len=0 TSval=65614243 TSecr=2464991826"
"139","0.417487","192.168.0.20","192.168.0.21","SSHv2","914","Server: Diffie-Hellman Key Exchange Reply, New Keys"
